family_external_id,local_path,alt_text,title,image_type,width,height,file_size,local_filename
18331,images/bim_families/image_8_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF%20%D0%A8%D0%B8%D0%BD%D0%B3%D0%BB%D0%B0%D1%81%20%D0%9C%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B4%D0%B0.png,Каталог скатных крыш. Revit,,general_selenium,207,207,4047982,image_8_%D0%A2%D0%9D-%D0%9A%D0%A0%D0%9E%D0%92%D0%9B%D0%AF%20%D0%A8%D0%B8%D0%BD%D0%B3%D0%BB%D0%B0%D1%81%20%D0%9C%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B4%D0%B0.png
18331,images/bim_families/image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg,ТЕХНОНИКОЛЬ,,general_selenium,159,159,1767,image_9_e3e16167-678d-4f73-81c7-3462fd67707a.svg
42850,images/bim_families/image_1_doors.400.jpg,,,slider_selenium,306,200,11673,image_1_doors.400.jpg
42850,images/bim_families/image_2_doors.405.jpg,,,slider_selenium,306,200,10855,image_2_doors.405.jpg
42850,images/bim_families/image_3_doors.404.png,,,slider_selenium,306,200,10706,image_3_doors.404.png
42850,images/bim_families/image_4_doors.398.jpg,,,slider_selenium,306,200,9520,image_4_doors.398.jpg
42850,images/bim_families/image_5_doors.406.png,,,slider_selenium,306,200,24497,image_5_doors.406.png
42850,images/bim_families/image_6_doors.407.png,,,slider_selenium,306,200,51323,image_6_doors.407.png
42850,images/bim_families/image_7_doors.400.jpg,Дверь металлическая квартирная сплошная однопольная типа ДМ-100 с МДФ панелями,,general_selenium,207,207,5762,image_7_doors.400.jpg
42850,images/bim_families/image_8_4c3c8af5-d19c-41ca-8218-41a00198a839.jpg,НПО «Пульс»,,general_selenium,159,159,40810,image_8_4c3c8af5-d19c-41ca-8218-41a00198a839.jpg
43826,images/bim_families/image_1_bimlib4e765f3c12f4551780c377595ec78583.jpg,Межкомнатная дверь Экза 4 М,,general_selenium,100,100,12680,image_1_bimlib4e765f3c12f4551780c377595ec78583.jpg
43826,images/bim_families/image_2_bimlib46004ee1f7cad284f6adcf17b718d829.png,ES1-Push-BE10,,general_selenium,100,100,14608,image_2_bimlib46004ee1f7cad284f6adcf17b718d829.png
43826,images/bim_families/image_3_bimlibef65f580623668d56c5e613fb3f1f7f7.jpg,Дверь балконная ARtec EF 70,,general_selenium,100,100,47106,image_3_bimlibef65f580623668d56c5e613fb3f1f7f7.jpg
